$ all processes (read-only)
    PID    PPID STAT     ELAPSED COMMAND
   5365    5045 Ssl  15-18:33:08 /usr/local/share/playwright/chromium_headless_shell-1217/chrome-headless-shell-linux64/chrome-headless-shell --disable-field-trial-config --disable-background-networking --disable-background-timer-throttling --disable-backgrounding-occluded-windows --disable-back-forward-cache --disable-breakpad --disable-client-side-phishing-detection --disable-component-extensions-with-background-pages --disable-component-update --no-default-browser-check --disable-default-apps --disable-dev-shm-usage --disable-extensions --disable-features=AvoidUnnecessaryBeforeUnloadCheckSync,BoundaryEventDispatchTracksNodeRemoval,DestroyProfileOnBrowserClose,DialMediaRouteProvider,GlobalMediaControls,HttpsUpgrades,LensOverlay,MediaRouter,PaintHolding,ThirdPartyStoragePartitioning,Translate,AutoDeElevate,RenderDocument,OptimizationHints --enable-features=CDPScreenshotNewSurface --allow-pre-commit-input --disable-hang-monitor --disable-ipc-flooding-protection --disable-popup-blocking --disable-prompt-on-repost --disable-renderer-backgrounding --force-color-profile=srgb --metrics-recording-only --no-first-run --password-store=basic --use-mock-keychain --no-service-autorun --export-tagged-pdf --disable-search-engine-choice-screen --unsafely-disable-devtools-self-xss-warnings --edge-skip-compat-layer-relaunch --enable-automation --disable-infobars --disable-search-engine-choice-screen --disable-sync --enable-unsafe-swiftshader --headless --hide-scrollbars --mute-audio --blink-settings=primaryHoverType=2,availableHoverTypes=2,primaryPointerType=4,availablePointerTypes=4 --no-sandbox --no-sandbox --disable-setuid-sandbox --disable-dev-shm-usage --disable-accelerated-2d-canvas --no-first-run --no-zygote --disable-gpu --user-data-dir=/tmp/playwright_chromiumdev_profile-jqhxK6 --remote-debugging-pipe --no-startup-window
   5400    4463 Ss   15-18:33:08 /opt/erlang/lib/erlang/erts-14.2.5.12/bin/inet_gethost 4
   5401    5400 S    15-18:33:08 /opt/erlang/lib/erlang/erts-14.2.5.12/bin/inet_gethost 4
   5415    3841 S    15-18:33:08 /opt/erlang/lib/erlang/erts-14.2.5.12/bin/epmd -daemon
   5503    5365 Sl   15-18:33:08 /usr/local/share/playwright/chromium_headless_shell-1217/chrome-headless-shell-linux64/chrome-headless-shell --type=gpu-process --no-sandbox --disable-dev-shm-usage --disable-breakpad --headless --ozone-platform=headless --use-angle=swiftshader-webgl --enable-unsafe-swiftshader --gpu-preferences=UAAAAAAAAAAgAAAEAAAAAAAAAAAAAGAAAAAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAYAAAAAAAAABgAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --shared-files --field-trial-handle=3,i,17475783245407008056,8526231099375805647,262144 --enable-features=CDPScreenshotNewSurface --disable-features=AutoDeElevate,AvoidUnnecessaryBeforeUnloadCheckSync,BoundaryEventDispatchTracksNodeRemoval,DestroyProfileOnBrowserClose,DialMediaRouteProvider,GlobalMediaControls,HttpsUpgrades,LensOverlay,MediaRouter,OptimizationHints,PaintHolding,RenderDocument,ThirdPartyStoragePartitioning,Translate --variations-seed-version --pseudonymization-salt-handle=7,i,9139454356812651832,8931748718142919618,4 --trace-process-track-uuid=3190708988185955192
   5510    5365 Sl   15-18:33:08 /usr/local/share/playwright/chromium_headless_shell-1217/chrome-headless-shell-linux64/chrome-headless-shell --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --no-sandbox --disable-dev-shm-usage --use-angle=swiftshader-webgl --use-gl=angle --mute-audio --headless=old --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,17475783245407008056,8526231099375805647,262144 --enable-features=CDPScreenshotNewSurface --disable-features=AutoDeElevate,AvoidUnnecessaryBeforeUnloadCheckSync,BoundaryEventDispatchTracksNodeRemoval,DestroyProfileOnBrowserClose,DialMediaRouteProvider,GlobalMediaControls,HttpsUpgrades,LensOverlay,MediaRouter,OptimizationHints,PaintHolding,RenderDocument,ThirdPartyStoragePartitioning,Translate --variations-seed-version --pseudonymization-salt-handle=7,i,9139454356812651832,8931748718142919618,4 --trace-process-track-uuid=3190708989122997041
   6727    3814 S    15-18:33:05 runsvdir -P /opt/gitlab/service log: ...........................................................................................................................................................................................................................................................................................................................................................................................................
   6738       2 S    15-18:33:05 [vidmem lazy free]
   6739       2 S    15-18:33:05 [UVM GPU1 BH]
   6740       2 S    15-18:33:05 [UVM GPU1 KC]
   7064    6727 Ss   15-18:33:04 runsv sshd
   7065    7064 S    15-18:33:04 svlogd -tt /var/log/gitlab/sshd
   7104    4463 Ss   15-18:33:04 /bin/sh -s rabbit_disk_monitor
   7980       1 Sl   15-18:33:01 /usr/bin/containerd-shim-runc-v2 -namespace moby -id fbfca5eb918133860ba79827e5628c2be2607748024be1623843087f4311fffd -address /run/containerd/containerd.sock
   8017    7980 Ssl  15-18:33:00 node dist/src/harness.js --start-docker
   8098    2952 Sl   15-18:33:00 /usr/bin/docker-proxy -proto tcp -host-ip 127.0.0.1 -host-port 3002 -container-ip 172.19.0.5 -container-port 3002 -use-listen-fd
   8195    8017 Ss   15-18:33:00 sh -c node dist/src/index.js
   8198    8195 Sl   15-18:33:00 node dist/src/index.js
   8199    8017 Ss   15-18:33:00 sh -c node dist/src/services/queue-worker.js
   8200    8199 Sl   15-18:33:00 node dist/src/services/queue-worker.js
   8201    8017 Ss   15-18:33:00 sh -c node dist/src/services/extract-worker.js
   8202    8201 Sl   15-18:33:00 node dist/src/services/extract-worker.js
   8204    8017 Ss   15-18:33:00 sh -c node dist/src/services/worker/nuq-worker.js
   8207    8204 Sl   15-18:33:00 node dist/src/services/worker/nuq-worker.js
   8208    8017 Ss   15-18:33:00 sh -c node dist/src/services/worker/nuq-worker.js
   8209    8208 Sl   15-18:33:00 node dist/src/services/worker/nuq-worker.js
   8210    8017 Ss   15-18:33:00 sh -c node dist/src/services/worker/nuq-worker.js
   8216    8210 Sl   15-18:33:00 node dist/src/services/worker/nuq-worker.js
   8217    8017 Ss   15-18:33:00 sh -c node dist/src/services/worker/nuq-worker.js
   8218    8217 Sl   15-18:33:00 node dist/src/services/worker/nuq-worker.js
   8220    8017 Ss   15-18:33:00 sh -c node dist/src/services/worker/nuq-worker.js
   8230    8220 Sl   15-18:33:00 node dist/src/services/worker/nuq-worker.js
   8231    8017 Ss   15-18:33:00 sh -c node dist/src/services/worker/nuq-prefetch-worker.js
   8237    8231 Sl   15-18:33:00 node dist/src/services/worker/nuq-prefetch-worker.js
   8247    8017 Ss   15-18:33:00 sh -c node dist/src/services/worker/nuq-reconciler-worker.js
   8249    8247 Sl   15-18:33:00 node dist/src/services/worker/nuq-reconciler-worker.js
   8646    6727 Ss   15-18:32:59 runsv redis
   8647    6727 Ss   15-18:32:59 runsv gitaly
   8648    6727 Ss   15-18:32:59 runsv logrotate
   8649    8647 Ss   15-18:32:59 svlogd /var/log/gitlab/gitaly
   8650    8646 Ss   15-18:32:59 svlogd -tt /var/log/gitlab/redis
   8652    8648 Ss   15-18:32:59 svlogd -tt /var/log/gitlab/logrotate
   8794    3814 S    15-18:32:58 /bin/bash /opt/gitlab/bin/gitlab-ctl tail
   8795    8794 Sl   15-18:32:58 /opt/gitlab/embedded/bin/ruby /opt/gitlab/embedded/bin/omnibus-ctl gitlab /opt/gitlab/embedded/service/omnibus-ctl* tail
   8844    8795 S    15-18:32:58 sh -c find -L /var/log/gitlab -type f -not -path '*/sasl/*' | grep -E -v '(config|lock|@|bz2|gz|gzip|tbz2|tgz|txz|xz|zip)' | xargs tail --follow=name --retry
   8847    8844 S    15-18:32:58 xargs tail --follow=name --retry
   8848    8847 S    15-18:32:58 tail --follow=name --retry /var/log/gitlab/redis/current /var/log/gitlab/redis/state /var/log/gitlab/postgresql/current /var/log/gitlab/postgresql/state /var/log/gitlab/gitlab-rails/auth.log /var/log/gitlab/gitlab-rails/production_json.log /var/log/gitlab/gitlab-rails/grpc.log /var/log/gitlab/gitlab-rails/api_json.log /var/log/gitlab/gitlab-rails/active_context.log /var/log/gitlab/gitlab-rails/service_measurement.log /var/log/gitlab/gitlab-rails/database_load_balancing.log /var/log/gitlab/gitlab-rails/user_experience_slis.log /var/log/gitlab/gitlab-rails/production.log /var/log/gitlab/gitlab-rails/application_json.log /var/log/gitlab/gitlab-rails/sidekiq_client.log /var/log/gitlab/gitlab-rails/gitlab-rails-db-migrate-2026-05-29-05-44-33.log /var/log/gitlab/gitlab-workhorse/current /var/log/gitlab/gitlab-workhorse/state /var/log/gitlab/sidekiq/current /var/log/gitlab/sidekiq/state /var/log/gitlab/gitlab-kas/current /var/log/gitlab/gitlab-kas/state /var/log/gitlab/sshd/current /var/log/gitlab/gitaly/current /var/log/gitlab/gitaly/state /var/log/gitlab/logrotate/current /var/log/gitlab/logrotate/state /var/log/gitlab/nginx/error.log /var/log/gitlab/nginx/gitlab_access.log /var/log/gitlab/nginx/access.log /var/log/gitlab/nginx/gitlab_error.log /var/log/gitlab/nginx/current /var/log/gitlab/nginx/state /var/log/gitlab/puma/puma_stderr.log /var/log/gitlab/puma/puma_stdout.log /var/log/gitlab/puma/current /var/log/gitlab/puma/state
   8922    6727 Ss   15-18:32:57 runsv postgresql
   8923    6727 Ss   15-18:32:57 runsv gitlab-workhorse
   8924    6727 Ss   15-18:32:57 runsv sidekiq
   8925    6727 Ss   15-18:32:57 runsv gitlab-kas
   8926    6727 Ss   15-18:32:57 runsv nginx
   8927    6727 Ss   15-18:32:57 runsv puma
   8930    8925 Ss   15-18:32:57 svlogd -tt /var/log/gitlab/gitlab-kas
   8931    8926 Ss   15-18:32:57 svlogd -tt /var/log/gitlab/nginx
   8932    8927 Ss   15-18:32:57 svlogd -tt /var/log/gitlab/puma
   8933    8922 Ss   15-18:32:57 svlogd -tt /var/log/gitlab/postgresql
   8934    8923 Ss   15-18:32:57 svlogd /var/log/gitlab/gitlab-workhorse
   8935    8924 Ss   15-18:32:57 svlogd /var/log/gitlab/sidekiq
   8957    8923 Ssl  15-18:32:57 /opt/gitlab/embedded/bin/gitlab-workhorse -listenNetwork unix -listenUmask 0 -listenAddr /var/opt/gitlab/gitlab-workhorse/sockets/socket -authBackend http://localhost:8080 -authSocket /var/opt/gitlab/gitlab-rails/sockets/gitlab.socket -documentRoot /opt/gitlab/embedded/service/gitlab-rails/public -pprofListenAddr  -prometheusListenAddr localhost:9229 -secretPath /opt/gitlab/embedded/service/gitlab-rails/.gitlab_workhorse_secret -logFormat json -config config.toml
   8958    8926 Ss   15-18:32:57 nginx: master process /opt/gitlab/embedded/sbin/nginx -p /var/opt/gitlab/nginx
   8988    8958 S    15-18:32:57 nginx: worker process
   8989    8958 S    15-18:32:57 nginx: worker process
   8990    8958 S    15-18:32:57 nginx: worker process
   8991    8958 S    15-18:32:57 nginx: worker process
   8992    8958 S    15-18:32:57 nginx: worker process
   8995    8958 S    15-18:32:57 nginx: worker process
   8997    8958 S    15-18:32:57 nginx: worker process
   8999    8958 S    15-18:32:57 nginx: worker process
   9001    8958 S    15-18:32:57 nginx: worker process
   9002    8958 S    15-18:32:57 nginx: worker process
   9003    8958 S    15-18:32:57 nginx: worker process
   9004    8958 S    15-18:32:57 nginx: worker process
   9005    8958 S    15-18:32:57 nginx: worker process
   9006    8958 S    15-18:32:57 nginx: worker process
   9007    8958 S    15-18:32:57 nginx: worker process
   9008    8958 S    15-18:32:57 nginx: worker process
   9009    8958 S    15-18:32:57 nginx: worker process
   9010    8958 S    15-18:32:57 nginx: worker process
   9011    8958 S    15-18:32:57 nginx: worker process
   9012    8958 S    15-18:32:57 nginx: worker process
   9013    8958 S    15-18:32:57 nginx: worker process
   9014    8958 S    15-18:32:57 nginx: worker process
   9015    8958 S    15-18:32:57 nginx: worker process
   9016    8958 S    15-18:32:57 nginx: worker process
   9017    8958 S    15-18:32:57 nginx: worker process
   9018    8958 S    15-18:32:57 nginx: worker process
   9019    8958 S    15-18:32:57 nginx: worker process
   9020    8958 S    15-18:32:57 nginx: worker process
   9021    8958 S    15-18:32:57 nginx: worker process
   9023    8958 S    15-18:32:57 nginx: worker process
   9027    8958 S    15-18:32:57 nginx: worker process
   9029    8958 S    15-18:32:57 nginx: worker process
   9031    8958 S    15-18:32:57 nginx: cache manager process
 108578    1708 Sl    1-16:22:40 /usr/sbin/tailscaled be-child ssh --login-shell=/bin/bash --uid=1000 --gid=1000 --groups=1000,4,24,27,29,30,46,100,114,125,984 --local-user=straughter --home-dir=/home/straughter --remote-user=straughterguthrie@gmail.com --remote-ip=100.106.214.23 --has-tty=false --tty-name= --force-v1-behavior --cmd=/home/straughter/.local/bin/paperclip-kling-mcp-server
 108586  108578 Sl    1-16:22:40 npm exec @paperclipai/mcp-server@2026.416.0
 108620  108586 S     1-16:22:40 sh -c paperclip-mcp-server
 108621  108620 Sl    1-16:22:40 node /tmp/npm-cache-paperclip-mcp/_npx/f303b737bb20871a/node_modules/.bin/paperclip-mcp-server
 108899    1708 Sl      01:44:03 /usr/sbin/tailscaled be-child ssh --login-shell=/bin/bash --uid=1000 --gid=1000 --groups=1000,4,24,27,29,30,46,100,114,125,984 --local-user=straughter --home-dir=/home/straughter --remote-user=straughterguthrie@gmail.com --remote-ip=100.106.214.23 --has-tty=false --tty-name= --force-v1-behavior --cmd=/home/straughter/.local/bin/paperclip-kling-mcp-server
 108907  108899 Sl      01:44:03 npm exec @paperclipai/mcp-server@2026.416.0
 108981  108907 S       01:44:03 sh -c paperclip-mcp-server
 108982  108981 Sl      01:44:03 node /tmp/npm-cache-paperclip-mcp/_npx/f303b737bb20871a/node_modules/.bin/paperclip-mcp-server
 127361       2 I<    1-16:19:12 [kworker/u97:0-rb_allocator]
 138054    1708 Sl    1-16:17:15 /usr/sbin/tailscaled be-child ssh --login-shell=/bin/bash --uid=1000 --gid=1000 --groups=1000,4,24,27,29,30,46,100,114,125,984 --local-user=straughter --home-dir=/home/straughter --remote-user=straughterguthrie@gmail.com --remote-ip=100.106.214.23 --has-tty=false --tty-name= --force-v1-behavior --cmd=/home/straughter/.local/bin/paperclip-kling-mcp-server
 138062  138054 Sl    1-16:17:14 npm exec @paperclipai/mcp-server@2026.416.0
 138120  138062 S     1-16:17:14 sh -c paperclip-mcp-server
 138121  138120 Sl    1-16:17:14 node /tmp/npm-cache-paperclip-mcp/_npx/f303b737bb20871a/node_modules/.bin/paperclip-mcp-server
 168397    1708 Sl    1-16:11:40 /usr/sbin/tailscaled be-child ssh --login-shell=/bin/bash --uid=1000 --gid=1000 --groups=1000,4,24,27,29,30,46,100,114,125,984 --local-user=straughter --home-dir=/home/straughter --remote-user=straughterguthrie@gmail.com --remote-ip=100.106.214.23 --has-tty=false --tty-name= --force-v1-behavior --cmd=/home/straughter/.local/bin/paperclip-kling-mcp-server
 168405  168397 Sl    1-16:11:40 npm exec @paperclipai/mcp-server@2026.416.0
 168425  168405 S     1-16:11:40 sh -c paperclip-mcp-server
 168426  168425 Sl    1-16:11:40 node /tmp/npm-cache-paperclip-mcp/_npx/f303b737bb20871a/node_modules/.bin/paperclip-mcp-server
 181887       1 Ssl  15-18:02:12 /usr/libexec/fwupd/fwupd
 237125       2 I       01:20:29 [kworker/11:2-cgroup_release]
 261399       2 I       01:15:59 [kworker/u96:5-writeback]
 324292       2 I       01:04:16 [kworker/13:0-events]
 327708       2 I       01:03:39 [kworker/15:1-events]
 338475    1718 Ssl     01:01:38 /snap/snapd-desktop-integration/391/usr/bin/user-session-helper /snap/snapd-desktop-integration/391/usr/bin/snapd-desktop-integration
 345699       2 I       01:00:19 [kworker/17:3-cgroup_release]
 377676       2 I          54:20 [kworker/u96:1-iou_exit]
 409127       2 I          48:26 [kworker/u96:0-iou_exit]
 445669       2 I          41:36 [kworker/u96:3-kvfree_rcu_reclaim]
 454735       2 I          39:56 [kworker/12:0-cgroup_release]
 463739       2 I          38:15 [kworker/9:1-events]
 479463       2 I          35:22 [kworker/u96:6-flush-259:0]
 480342       2 I          35:12 [kworker/21:2-events]
 482084       2 I          34:53 [kworker/3:1-cgroup_free]
 483539       2 I          34:36 [kworker/18:2-events]
 488548       2 I          33:41 [kworker/11:1-events]
 492258    2458 Ss         32:58 postgres: paperclip paperclip 127.0.0.1(45172) idle
 492668    8648 Ss         32:54 /bin/sh /opt/gitlab/embedded/bin/gitlab-logrotate-wrapper
 492942       2 I          32:51 [kworker/7:1-events]
 492951       2 I          32:51 [kworker/6:1-mm_percpu_wq]
 494068       2 I          32:38 [kworker/1:2-events]
 496736       2 I          32:08 [kworker/4:0-events]
 511142    2458 Ss         29:28 postgres: paperclip paperclip 127.0.0.1(40430) idle
 522438       2 I          27:21 [kworker/10:0-cgroup_bpf_destroy]
 524849       2 I          26:55 [kworker/23:1-cgroup_release]
 536556       2 I          24:47 [kworker/8:0-cgroup_free]
 537923       2 I          24:32 [kworker/20:0-cgroup_free]
 544845       2 I          23:15 [kworker/16:3-cgroup_free]
 544855       2 I          23:15 [kworker/u96:2-flush-259:0]
 545852       2 I          23:04 [kworker/9:0-cgroup_free]
 546781  492668 S          22:54 sleep 3000
 552636       2 I          21:49 [kworker/7:2-events]
 560043    2458 Ss         20:28 postgres: paperclip paperclip 127.0.0.1(50552) idle
 561828       2 I          20:09 [kworker/2:1-mm_percpu_wq]
 565002       2 I          19:34 [kworker/14:2-cgroup_free]
 581501       2 I          16:30 [kworker/5:2-events]
 584452       2 I          15:59 [kworker/4:2-cgroup_release]
 587715       2 I          15:22 [kworker/0:0-mm_percpu_wq]
 593364       2 I          14:20 [kworker/19:2-mm_percpu_wq]
 594360       2 I          14:09 [kworker/22:0-mm_percpu_wq]
 597845       2 I          13:30 [kworker/14:1-cgroup_release]
 599004       2 I          13:17 [kworker/3:2-events]
 599077    1708 Sl    1-14:51:33 /usr/sbin/tailscaled be-child ssh --login-shell=/bin/bash --uid=1000 --gid=1000 --groups=1000,4,24,27,29,30,46,100,114,125,984 --local-user=straughter --home-dir=/home/straughter --remote-user=straughterguthrie@gmail.com --remote-ip=100.106.214.23 --has-tty=false --tty-name= --force-v1-behavior --cmd=/home/straughter/.local/bin/paperclip-kling-mcp-server
 599084  599077 Sl    1-14:51:33 npm exec @paperclipai/mcp-server@2026.416.0
 599200  599084 S     1-14:51:33 sh -c paperclip-mcp-server
 599201  599200 Sl    1-14:51:33 node /tmp/npm-cache-paperclip-mcp/_npx/f303b737bb20871a/node_modules/.bin/paperclip-mcp-server
 605095       2 I          12:09 [kworker/12:1-events]
 606025       2 I          11:59 [kworker/21:1-cgroup_free]
 608870    2458 Ss         11:28 postgres: paperclip paperclip 127.0.0.1(41976) idle
 609247       2 I          11:23 [kworker/16:1-cgroup_free]
 613615       2 I          10:37 [kworker/20:2-events]
 613988       2 I          10:32 [kworker/1:1-mm_percpu_wq]
 618892       2 I          09:37 [kworker/23:0-events]
 620418       2 I          09:20 [kworker/8:3-cgroup_free]
 621536       2 I          09:07 [kworker/13:1-events]
 622721       2 I          08:55 [kworker/15:2-events]
 624297       2 I          08:37 [kworker/5:0-mm_percpu_wq]
 624923       2 I          08:30 [kworker/10:1-events]
 625038       2 I          08:29 [kworker/22:1-cgroup_free]
 628339       2 I          07:53 [kworker/0:1-cgroup_release]
 631511    1708 Sl         07:17 /usr/sbin/tailscaled be-child ssh --login-shell=/bin/bash --uid=1000 --gid=1000 --groups=1000,4,24,27,29,30,46,100,114,125,984 --local-user=straughter --home-dir=/home/straughter --remote-user=straughterguthrie@gmail.com --remote-ip=100.106.214.23 --has-tty=false --tty-name= --force-v1-behavior --cmd=/home/straughter/.local/bin/paperclip-kling-mcp-server
 631519  631511 Sl         07:17 npm exec @paperclipai/mcp-server@2026.416.0
 631584  631519 S          07:16 sh -c paperclip-mcp-server
 631585  631584 Sl         07:16 node /tmp/npm-cache-paperclip-mcp/_npx/f303b737bb20871a/node_modules/.bin/paperclip-mcp-server
 632761       2 I          07:05 [kworker/19:0-cgroup_free]
 635310       2 I          06:36 [kworker/17:1-mm_percpu_wq]
 635992       2 I          06:28 [kworker/18:1-cgroup_release]
 636217       2 I          06:26 [kworker/14:0-mm_percpu_wq]
 641336       2 I          05:31 [kworker/6:0-events]
 641893       2 I          05:25 [kworker/2:3-cgroup_free]
 643052    1708 Sl         05:12 /usr/sbin/tailscaled be-child ssh --login-shell=/bin/bash --uid=1000 --gid=1000 --groups=1000,4,24,27,29,30,46,100,114,125,984 --local-user=straughter --home-dir=/home/straughter --remote-user=straughterguthrie@gmail.com --remote-ip=100.106.214.23 --has-tty=false --tty-name= --force-v1-behavior --cmd=/home/straughter/.local/bin/paperclip-kling-mcp-server
 643060  643052 Sl         05:12 npm exec @paperclipai/mcp-server@2026.416.0
 643080  643060 S          05:12 sh -c paperclip-mcp-server
 643081  643080 Sl         05:12 node /tmp/npm-cache-paperclip-mcp/_npx/f303b737bb20871a/node_modules/.bin/paperclip-mcp-server
 645553       2 I          04:44 [kworker/21:0]
 647663       2 I          04:23 [kworker/23:2-events]
 650145       2 I          03:54 [kworker/16:0-mm_percpu_wq]
 650342       2 I          03:52 [kworker/8:1-mm_percpu_wq]
 654511       2 I          03:06 [kworker/12:2-cgroup_free]
 656272       2 I          02:46 [kworker/22:2-events]
 656537       2 I          02:43 [kworker/22:3-cgroup_free]
 656816       2 I          02:40 [kworker/20:1-events]
 658253       2 I          02:27 [kworker/u96:4-flush-259:0]
 658255       2 I          02:27 [kworker/u96:7]
 658263    1708 Sl         02:26 /usr/sbin/tailscaled be-child ssh --login-shell=/bin/bash --uid=1000 --gid=1000 --groups=1000,4,24,27,29,30,46,100,114,125,984 --local-user=straughter --home-dir=/home/straughter --remote-user=straughterguthrie@gmail.com --remote-ip=100.106.214.23 --has-tty=false --tty-name= --force-v1-behavior --cmd=/home/straughter/.local/bin/paperclip-kling-mcp-server
 658289  658263 Sl         02:26 npm exec @paperclipai/mcp-server@2026.416.0
 658361  658289 S          02:26 sh -c paperclip-mcp-server
 658362  658361 Sl         02:26 node /tmp/npm-cache-paperclip-mcp/_npx/f303b737bb20871a/node_modules/.bin/paperclip-mcp-server
 659105       2 I          02:20 [kworker/11:0-events]
 659188       2 I          02:20 [kworker/10:2-events]
 661942       2 I          01:49 [kworker/0:2-cgroup_release]
 665540       2 I          01:08 [kworker/19:1]
 666584       2 I          01:00 [kworker/17:0-cgroup_release]
 666694       2 I          00:58 [kworker/3:0-cgroup_free]
 667615       2 I          00:48 [kworker/18:0-events]
 669120       2 I          00:32 [kworker/4:1-events]
 670224       2 I          00:20 [kworker/10:3-events]
 670917    8924 Ssl        00:13 ruby /opt/gitlab/embedded/service/gitlab-rails/bin/sidekiq-cluster -e production -r /opt/gitlab/embedded/service/gitlab-rails -c 5 --timeout 25 *
 671379    3815 Ss         00:08 postgres: postgres postgres 172.19.0.5(49526) idle
 671596       1 Rsl        00:05 /home/straughter/Wan2GP/venv/bin/python /home/straughter/Wan2GP/wgp.py --server-name 0.0.0.0 --server-port 7861 --profile 4 --attention sage --verbose 1
 671968    8927 Rsl        00:01 puma 7.2.0 (unix:///var/opt/gitlab/gitlab-rails/sockets/gitlab.socket,tcp://127.0.0.1:8080) [gitlab-puma-worker]
 672053    8647 Ssl        00:00 /opt/gitlab/embedded/bin/gitaly-wrapper /opt/gitlab/embedded/bin/gitaly serve /var/opt/gitlab/gitaly/config.toml
 672120    1708 Sl         00:00 /usr/sbin/tailscaled be-child ssh --login-shell=/bin/bash --uid=1000 --gid=1000 --groups=1000,4,24,27,29,30,46,100,114,125,984 --local-user=straughter --home-dir=/home/straughter --remote-user=straughterguthrie@gmail.com --remote-ip=100.106.214.23 --has-tty=false --tty-name= --force-v1-behavior --cmd=timeout 30 ps -eo pid,ppid,stat,etime,args
 672129  672120 S          00:00 timeout 30 ps -eo pid,ppid,stat,etime,args
 672131  672129 R          00:00 ps -eo pid,ppid,stat,etime,args
 847724    1708 Sl    1-14:05:48 /usr/sbin/tailscaled be-child ssh --login-shell=/bin/bash --uid=1000 --gid=1000 --groups=1000,4,24,27,29,30,46,100,114,125,984 --local-user=straughter --home-dir=/home/straughter --remote-user=straughterguthrie@gmail.com --remote-ip=100.106.214.23 --has-tty=false --tty-name= --force-v1-behavior --cmd=/home/straughter/.local/bin/paperclip-kling-mcp-server
 847733  847724 Sl    1-14:05:48 npm exec @paperclipai/mcp-server@2026.416.0
 847777  847733 S     1-14:05:48 sh -c paperclip-mcp-server
 847778  847777 Sl    1-14:05:48 node /tmp/npm-cache-paperclip-mcp/_npx/f303b737bb20871a/node_modules/.bin/paperclip-mcp-server
1131091    1708 Sl    1-13:13:36 /usr/sbin/tailscaled be-child ssh --login-shell=/bin/bash --uid=1000 --gid=1000 --groups=1000,4,24,27,29,30,46,100,114,125,984 --local-user=straughter --home-dir=/home/straughter --remote-user=straughterguthrie@gmail.com --remote-ip=100.106.214.23 --has-tty=false --tty-name= --force-v1-behavior --cmd=/home/straughter/.local/bin/paperclip-kling-mcp-server
1131104 1131091 Sl    1-13:13:36 npm exec @paperclipai/mcp-server@2026.416.0
1131125 1131104 S     1-13:13:36 sh -c paperclip-mcp-server
1131126 1131125 Sl    1-13:13:36 node /tmp/npm-cache-paperclip-mcp/_npx/f303b737bb20871a/node_modules/.bin/paperclip-mcp-server
1198407    1708 Sl    1-13:01:20 /usr/sbin/tailscaled be-child ssh --login-shell=/bin/bash --uid=1000 --gid=1000 --groups=1000,4,24,27,29,30,46,100,114,125,984 --local-user=straughter --home-dir=/home/straughter --remote-user=straughterguthrie@gmail.com --remote-ip=100.106.214.23 --has-tty=false --tty-name= --force-v1-behavior --cmd=/home/straughter/.local/bin/paperclip-kling-mcp-server
1198415 1198407 Sl    1-13:01:20 npm exec @paperclipai/mcp-server@2026.416.0
1198448 1198415 S     1-13:01:20 sh -c paperclip-mcp-server
1198449 1198448 Sl    1-13:01:20 node /tmp/npm-cache-paperclip-mcp/_npx/f303b737bb20871a/node_modules/.bin/paperclip-mcp-server
1735428    1708 Sl    4-04:19:30 /usr/sbin/tailscaled be-child ssh --login-shell=/bin/bash --uid=1000 --gid=1000 --groups=1000,4,24,27,29,30,46,100,114,125,984 --local-user=straughter --home-dir=/home/straughter --remote-user=straughterguthrie@gmail.com --remote-ip=100.106.214.23 --has-tty=false --tty-name= --force-v1-behavior --cmd=/home/straughter/.local/bin/paperclip-kling-mcp-server
1735437 1735428 Sl    4-04:19:30 npm exec @paperclipai/mcp-server@2026.416.0
1735567 1735437 S     4-04:19:30 sh -c paperclip-mcp-server
1735568 1735567 Sl    4-04:19:30 node /tmp/npm-cache-paperclip-mcp/_npx/f303b737bb20871a/node_modules/.bin/paperclip-mcp-server
1735800    1708 Sl    4-04:19:27 /usr/sbin/tailscaled be-child ssh --login-shell=/bin/bash --uid=1000 --gid=1000 --groups=1000,4,24,27,29,30,46,100,114,125,984 --local-user=straughter --home-dir=/home/straughter --remote-user=straughterguthrie@gmail.com --remote-ip=100.106.214.23 --has-tty=false --tty-name= --force-v1-behavior --cmd=/home/straughter/.local/bin/paperclip-kling-mcp-server
1735808 1735800 Sl    4-04:19:27 npm exec @paperclipai/mcp-server@2026.416.0
1735846 1735808 S     4-04:19:27 sh -c paperclip-mcp-server
1735847 1735846 Sl    4-04:19:27 node /tmp/npm-cache-paperclip-mcp/_npx/f303b737bb20871a/node_modules/.bin/paperclip-mcp-server
1736521    1708 Sl    4-04:19:19 /usr/sbin/tailscaled be-child ssh --login-shell=/bin/bash --uid=1000 --gid=1000 --groups=1000,4,24,27,29,30,46,100,114,125,984 --local-user=straughter --home-dir=/home/straughter --remote-user=straughterguthrie@gmail.com --remote-ip=100.106.214.23 --has-tty=false --tty-name= --force-v1-behavior --cmd=/home/straughter/.local/bin/paperclip-kling-mcp-server
1736529 1736521 Sl    4-04:19:19 npm exec @paperclipai/mcp-server@2026.416.0
1736596 1736529 S     4-04:19:19 sh -c paperclip-mcp-server
